date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:20	304077/304077	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:20%20GMT	https://thebestschools.org/magazine/most-controversial-college-professors-in-america/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/most-controversial-college-professors-in-america/index.html	(from https://thebestschools.org/sitemap/)
14:30:20	2513/2513	---M-Z	200	added ('OK')	text/xml	date:Sun,%2025%20Dec%202022%2012:30:20%20GMT	https://thebestschools.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthebestschools.org%2Fdegrees%2Fradiology-programs%2F&format=xml	C:/My%20Web%20Sites/thebestschools/thebestschools.org/wp-json/oembed/1.0/embede25b	(from https://thebestschools.org/degrees/radiology-programs/)
14:30:21	450920/450920	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:20%20GMT	https://thebestschools.org/magazine/most-influential-psychologists-world/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/most-influential-psychologists-world/index.html	(from https://thebestschools.org/sitemap/)
14:30:21	348693/348693	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:20%20GMT	https://thebestschools.org/magazine/top-atheists-in-the-world-today/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/top-atheists-in-the-world-today/index.html	(from https://thebestschools.org/sitemap/)
14:30:22	273115/273115	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:21%20GMT	https://thebestschools.org/magazine/top-climate-change-scientists/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/top-climate-change-scientists/index.html	(from https://thebestschools.org/sitemap/)
14:30:22	318209/318209	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:21%20GMT	https://thebestschools.org/magazine/college-mascots/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/college-mascots/index.html	(from https://thebestschools.org/sitemap/)
14:30:22	386157/386157	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:21%20GMT	https://thebestschools.org/magazine/women-in-stem/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/women-in-stem/index.html	(from https://thebestschools.org/sitemap/)
14:30:22	280019/280019	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:22%20GMT	https://thebestschools.org/magazine/gift-ideas-books/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/gift-ideas-books/index.html	(from https://thebestschools.org/sitemap/)
14:30:22	247951/247951	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:22%20GMT	https://thebestschools.org/online-colleges/iowa-state-university-online/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/online-colleges/iowa-state-university-online/index.html	(from https://thebestschools.org/sitemap/)
14:30:22	249644/249644	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:22%20GMT	https://thebestschools.org/online-colleges/bay-path-university-online/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/online-colleges/bay-path-university-online/index.html	(from https://thebestschools.org/sitemap/)
14:30:23	348616/348616	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:22%20GMT	https://thebestschools.org/magazine/homeschool-style-right/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/magazine/homeschool-style-right/index.html	(from https://thebestschools.org/sitemap/)
